Reference, Value, Footprint, Datasheet
U1,STM32F103C8T6,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm,
P1,USB_OTG,myFootprints:USB_Micro-B-MK5,
R3,22,Resistors_SMD:R_0603,
R4,22,Resistors_SMD:R_0603,
C5,47pF,Capacitors_SMD:C_0603,
C6,47pF,Capacitors_SMD:C_0603,
U2,XC6206P332MR,TO_SOT_Packages_SMD:SOT-23,
U3,XC6206P332MR,TO_SOT_Packages_SMD:SOT-23,
C8,10uF,Capacitors_SMD:C_0603,
C9,10uF,Capacitors_SMD:C_0603,
C7,100uF,SMD_Packages:SMD-1210_Pol,
R8,0,Resistors_SMD:R_0603,
P2,CONN_01X14,myFootprints:Connector_FAD_14x1,
P3,CONN_01X14,myFootprints:Connector_FAD_14x1,
C2,1uF,Capacitors_SMD:C_0603,
C3,1uF,Capacitors_SMD:C_0603,
C4,1uF,Capacitors_SMD:C_0603,
C1,1uF,Capacitors_SMD:C_0603,
X1,8MHz_OSC,myFootprints:Resonator_3.2x1.5mm,
C10,18pF,Capacitors_SMD:C_0603,
C11,18pF,Capacitors_SMD:C_0603,
R12,1K,Resistors_SMD:R_0603,
D3,GREEN,LEDs:LED_0603,
R9,1K,Resistors_SMD:R_0603,
D2,PWR,LEDs:LED_0603,
SW1,USR_BUT,Buttons_Switches_SMD:SW_SPST_EVQP7C,
R11,10K,Resistors_SMD:R_0603,
R10,1K,Resistors_SMD:R_0603,
R14,1K,Resistors_SMD:R_0603,
R13,10K,Resistors_SMD:R_0603,
SW2,RST_BUTTON,Buttons_Switches_SMD:SW_SPST_EVQP7C,
P4,CONN_01X12,myFootprints:Connector_FAD_12x1,
R7,1.5K,Resistors_SMD:R_0603,
R6,36K,Resistors_SMD:R_0603,
R1,1K,Resistors_SMD:R_0603,
R5,10K,Resistors_SMD:R_0603,
R2,47K,Resistors_SMD:R_0603,
Q1,8050,TO_SOT_Packages_SMD:SOT-23,
Q2,8050,TO_SOT_Packages_SMD:SOT-23,
D1,D_Small,Diodes_SMD:SOD-123,
P5,CONN_01X01,myFootprints:Debug_Pin_1,
P6,CONN_01X01,myFootprints:Debug_Pin_1,
P7,CONN_01X01,myFootprints:Debug_Pin_1,
P8,CONN_01X01,myFootprints:Debug_Pin_1,
